;;;;;;;;;;;;;;;;;
#;;;Setor Econômico (CNAE);;;Acidentes;;;Óbitos;;;;Taxa;;;Tx.;
;;;;;;;;;;;;;CAT;;;Letali.;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;;;;Atendimento hospitalar (exceto;;500.032;;;221;;;6.378,9;;;21,69;;
;;;;pronto-socorro);;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;2;;;Supermercados;;;204.277;;;335;;;2.150,6;;;83,82;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;3;;;Administração pública em geral;;;177.078;;;596;;;7.609,3;;;195,15;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
4;;;;Transp. rodoviário de carga;;143.367;;;2.601;;;2.304,5;;;526,63;;
;;;;intermunicipal/interestadual;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
5;;;;Atendimento em pronto-socorro /;;133.446;;;83;;;6.869,7;;;15,14;;
;;;;urgências;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;6;;;Construção de edifícios;;;122.455;;;820;;;3.743,3;;;238,10;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
7;;;;Coleta de resíduos não-;;84.937;;;220;;;11.164,8;;;65,99;;
;;;;perigosos;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;8;;;Atividades do Correio Nacional;;;84.371;;;40;;;9.751,6;;;13,17;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;9;;;Abate de aves;;;80.372;;;166;;;11.844,4;;;50,13;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;10;;;Restaurantes e similares;;;76.255;;;262;;;1.317,8;;;112,75;
;;;;;;;;;;;;;;;;;
